               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.027827,            0.028658,            0.012044,             0.68399,             0.70647,             0.73482,             0.52731,            0.024178,            0.024186,            0.011624,            0.003466,            0.003466,            0.003466
                 101,            0.025748,            0.029165,            0.012403,             0.69994,             0.70969,             0.73842,             0.54607,            0.024229,            0.023864,            0.011695,              0.0034,              0.0034,              0.0034
                 102,            0.026955,            0.026666,            0.012733,             0.69842,             0.69401,              0.7479,             0.53465,            0.025889,            0.024249,            0.012292,            0.003334,            0.003334,            0.003334
                 103,            0.029797,              0.0303,            0.011703,              0.6499,             0.74347,             0.75726,              0.5465,            0.023545,            0.024786,            0.011884,            0.003268,            0.003268,            0.003268
                 104,            0.026918,            0.030323,            0.010597,             0.68562,             0.72971,             0.75574,             0.54482,            0.025489,            0.025374,             0.01178,            0.003202,            0.003202,            0.003202
                 105,            0.025791,            0.027137,            0.010498,             0.65019,             0.73948,             0.75386,             0.54456,            0.024064,            0.025024,            0.011742,            0.003136,            0.003136,            0.003136
                 106,            0.027023,            0.032586,           0.0098136,              0.6524,             0.75551,             0.74542,             0.53883,            0.023996,            0.023957,            0.011544,             0.00307,             0.00307,             0.00307
                 107,            0.027004,            0.029262,           0.0096655,             0.61938,             0.74893,             0.72887,             0.54815,             0.02331,            0.023747,            0.011442,            0.003004,            0.003004,            0.003004
                 108,             0.02568,            0.030634,            0.010185,             0.67434,             0.74367,              0.7243,             0.53128,            0.022859,            0.023326,            0.011319,            0.002938,            0.002938,            0.002938
                 109,            0.024731,            0.028602,             0.01226,             0.62048,             0.72732,             0.71612,              0.5131,            0.022785,            0.022892,            0.011163,            0.002872,            0.002872,            0.002872
                 110,            0.025628,            0.031193,           0.0097976,             0.63048,              0.7033,             0.71639,             0.51598,            0.024071,            0.022485,            0.010958,            0.002806,            0.002806,            0.002806
                 111,            0.025065,            0.029968,           0.0091452,             0.63682,             0.73641,             0.72768,             0.53368,            0.022772,            0.022439,            0.010768,             0.00274,             0.00274,             0.00274
                 112,            0.025666,            0.029238,           0.0090819,             0.62738,             0.74553,             0.73034,             0.55146,            0.022251,            0.022256,            0.010527,            0.002674,            0.002674,            0.002674
                 113,            0.025165,            0.031566,            0.010094,             0.61782,              0.7474,             0.74241,              0.5437,            0.023148,            0.022345,            0.010524,            0.002608,            0.002608,            0.002608
                 114,            0.024868,            0.030347,           0.0098754,             0.70656,             0.67084,             0.75581,             0.54299,            0.023634,             0.02283,            0.010488,            0.002542,            0.002542,            0.002542
                 115,             0.02563,            0.028468,             0.01036,             0.69307,             0.67547,             0.74935,             0.55244,            0.023376,            0.022921,            0.010389,            0.002476,            0.002476,            0.002476
                 116,             0.02532,            0.028896,           0.0093673,             0.70365,             0.69184,              0.7448,              0.5417,            0.023911,            0.023094,            0.010581,             0.00241,             0.00241,             0.00241
                 117,            0.025053,            0.026437,           0.0091556,             0.68045,             0.71167,             0.74136,              0.5466,            0.024328,             0.02388,            0.010703,            0.002344,            0.002344,            0.002344
                 118,             0.02576,            0.028469,           0.0097048,             0.70245,             0.70144,             0.74489,             0.54074,            0.024469,            0.024241,            0.010839,            0.002278,            0.002278,            0.002278
                 119,            0.023504,            0.029116,            0.008005,             0.66349,             0.73633,             0.75542,             0.56164,            0.024875,            0.024251,            0.010851,            0.002212,            0.002212,            0.002212
                 120,            0.025094,            0.029308,           0.0071702,             0.67211,             0.72917,             0.74515,             0.53996,            0.024517,             0.02414,            0.010881,            0.002146,            0.002146,            0.002146
                 121,            0.023527,            0.029395,           0.0084861,             0.68704,              0.6991,              0.7426,             0.53808,            0.024236,            0.024349,            0.010953,             0.00208,             0.00208,             0.00208
                 122,            0.025441,            0.028532,           0.0080981,             0.68485,             0.68294,             0.74897,             0.55452,            0.024542,            0.023783,            0.011007,            0.002014,            0.002014,            0.002014
                 123,            0.022793,            0.029063,           0.0090153,             0.72962,             0.65616,             0.74814,             0.54777,            0.023506,            0.023833,            0.010792,            0.001948,            0.001948,            0.001948
                 124,            0.023208,            0.027228,           0.0083794,             0.71878,             0.66509,             0.74287,             0.55241,             0.02408,            0.023918,             0.01083,            0.001882,            0.001882,            0.001882
                 125,            0.023682,             0.02805,           0.0084421,             0.70856,              0.6726,             0.73483,             0.54813,            0.023116,            0.023992,            0.010719,            0.001816,            0.001816,            0.001816
                 126,            0.023678,            0.029709,           0.0075418,             0.69957,             0.67842,             0.73655,             0.55336,            0.022691,            0.023769,            0.010844,             0.00175,             0.00175,             0.00175
                 127,            0.024364,            0.028394,           0.0082818,              0.7008,             0.68626,             0.74777,             0.56695,            0.023167,            0.023556,            0.010628,            0.001684,            0.001684,            0.001684
                 128,            0.021934,            0.029292,           0.0079684,             0.67166,              0.6795,              0.7487,             0.56155,            0.023451,            0.023602,            0.010427,            0.001618,            0.001618,            0.001618
                 129,            0.022147,            0.027668,           0.0082464,             0.62311,             0.70147,             0.74358,             0.56172,            0.023067,             0.02357,            0.010166,            0.001552,            0.001552,            0.001552
                 130,            0.023655,             0.02805,           0.0077306,             0.64448,             0.69887,              0.7675,             0.57885,            0.023035,            0.023528,           0.0098513,            0.001486,            0.001486,            0.001486
                 131,            0.022797,            0.032005,           0.0074672,             0.63875,              0.7196,             0.76156,             0.57249,            0.022676,            0.023486,           0.0097366,             0.00142,             0.00142,             0.00142
                 132,            0.022966,            0.027588,           0.0067325,             0.65269,             0.73794,             0.77412,             0.57824,            0.022771,             0.02338,           0.0096523,            0.001354,            0.001354,            0.001354
                 133,            0.021385,            0.029049,            0.007657,             0.67445,              0.7415,             0.77978,             0.58185,            0.023022,            0.023256,           0.0097118,            0.001288,            0.001288,            0.001288
                 134,            0.021738,            0.026639,           0.0071868,             0.72943,             0.71378,             0.79137,             0.59562,            0.022903,            0.023294,            0.009462,            0.001222,            0.001222,            0.001222
                 135,            0.022531,            0.026183,           0.0072503,             0.75396,             0.70758,             0.79048,              0.5883,            0.022944,            0.023281,           0.0095023,            0.001156,            0.001156,            0.001156
                 136,            0.020391,            0.026541,           0.0069767,             0.77419,             0.68631,             0.78399,             0.57695,            0.023157,            0.023371,           0.0096008,             0.00109,             0.00109,             0.00109
                 137,             0.02238,            0.029085,           0.0068113,             0.74992,             0.69732,             0.78723,             0.57656,            0.023075,            0.023378,           0.0096238,            0.001024,            0.001024,            0.001024
                 138,            0.022941,            0.029823,           0.0076971,             0.70629,             0.73904,             0.78217,             0.58128,            0.022363,            0.023086,           0.0097893,            0.000958,            0.000958,            0.000958
                 139,              0.0241,            0.030249,           0.0094651,             0.68348,             0.74045,             0.77499,             0.58334,            0.022238,            0.023062,            0.009842,            0.000892,            0.000892,            0.000892
                 140,            0.020399,            0.028087,           0.0081348,             0.68841,              0.7481,             0.77209,             0.57883,            0.022459,            0.023011,           0.0098339,            0.000826,            0.000826,            0.000826
                 141,            0.021763,            0.026656,           0.0069154,             0.65207,             0.75847,             0.76335,              0.5754,            0.022258,            0.022814,            0.010122,             0.00076,             0.00076,             0.00076
                 142,            0.022776,            0.029137,           0.0071353,             0.67565,             0.72602,             0.75805,               0.574,            0.022299,            0.022701,            0.010461,            0.000694,            0.000694,            0.000694
                 143,            0.021739,            0.027497,           0.0059432,              0.6846,             0.71285,             0.74764,             0.56077,             0.02235,            0.022567,            0.010699,            0.000628,            0.000628,            0.000628
                 144,            0.022343,            0.028118,           0.0069796,             0.69795,             0.70752,             0.74368,             0.55806,            0.022089,             0.02239,            0.010743,            0.000562,            0.000562,            0.000562
                 145,            0.023626,            0.027237,           0.0092114,             0.69468,             0.70034,              0.7507,             0.56159,            0.022417,            0.022249,            0.010782,            0.000496,            0.000496,            0.000496
                 146,            0.020498,            0.026302,           0.0061923,             0.68145,             0.70413,             0.75359,             0.56875,            0.022077,            0.022113,            0.010857,             0.00043,             0.00043,             0.00043
                 147,            0.020612,            0.026464,           0.0074214,             0.69714,             0.70078,             0.74868,             0.56469,            0.022031,            0.022094,            0.010611,            0.000364,            0.000364,            0.000364
                 148,            0.022917,              0.0247,           0.0071199,             0.68196,             0.70061,             0.75393,             0.56779,            0.021806,            0.022228,            0.010364,            0.000298,            0.000298,            0.000298
                 149,            0.020668,             0.02475,           0.0073794,             0.67411,             0.70082,             0.75436,             0.56718,            0.021852,            0.022332,            0.010213,            0.000232,            0.000232,            0.000232
